100 4950 5
0	1	2	0.02
51	70	5	0.02
96	15	3	0.03
69	72	10	0.01
39	27	1	0.02
2	0	6	0.01
32	7	7	0.04
32	52	8	0.04
68	18	7	0.02
67	4	2	0.02
90	57	3	0.03
84	38	5	0.03
39	62	3	0.03
57	55	1	0.02
95	80	9	0.02
30	99	2	0.02
0	4	2	0.01
36	71	1	0.03
92	72	10	0.01
74	39	2	0.03
51	27	4	0.02
68	52	1	0.03
73	49	10	0.02
63	26	1	0.02
47	69	6	0.01
56	47	4	0.04
64	7	8	0.00
52	16	6	0.03
47	77	1	0.02
46	0	1	0.03
76	13	7	0.02
73	26	7	0.00
84	53	2	0.03
56	60	8	0.01
50	7	9	0.03
43	57	9	0.00
7	71	9	0.03
20	29	7	0.02
65	58	4	0.04
28	59	8	0.02
14	2	4	0.01
87	42	8	0.01
80	94	9	0.01
27	30	10	0.02
45	27	10	0.02
73	19	3	0.01
58	13	7	0.02
67	28	2	0.02
80	43	3	0.01
43	97	7	0.03
79	25	7	0.03
55	1	5	0.02
60	67	7	0.03
32	83	9	0.03
42	56	3	0.04
83	27	4	0.03
2	43	8	0.03
10	99	8	0.00
98	73	6	0.02
42	25	3	0.03
59	96	7	0.02
85	31	9	0.04
1	11	8	0.03
24	33	3	0.02
99	38	9	0.01
89	57	6	0.01
12	15	9	0.03
67	15	8	0.01
82	74	1	0.03
43	90	1	0.02
11	2	5	0.00
75	86	7	0.02
64	78	6	0.01
60	26	10	0.03
72	85	5	0.04
49	55	10	0.03
87	9	2	0.03
57	84	4	0.00
1	45	5	0.02
2	47	4	0.03
97	17	7	0.03
35	17	10	0.02
98	68	9	0.02
22	37	4	0.03
33	11	4	0.04
87	0	8	0.03
91	74	6	0.01
74	79	7	0.01
84	15	10	0.03
90	61	5	0.03
37	89	9	0.01
43	52	5	0.01
56	18	4	0.00
97	93	5	0.02
86	44	4	0.03
26	70	5	0.02
20	54	10	0.02
65	47	9	0.02
75	40	4	0.04
39	32	3	0.00
22	93	9	0.03
58	59	8	0.01
7	24	10	0.01
56	50	9	0.02
24	80	9	0.02
64	79	7	0.01
66	28	3	0.02
73	78	10	0.02
47	0	8	0.02
39	72	1	0.04
78	64	7	0.02
31	58	4	0.05
3	88	4	0.00
21	61	10	0.01
72	52	4	0.02
85	52	9	0.00
76	54	7	0.04
26	27	2	0.01
40	20	7	0.03
90	0	9	0.03
72	68	8	0.02
79	63	4	0.00
46	91	5	0.02
95	39	5	0.01
53	5	1	0.02
84	43	2	0.04
14	36	4	0.01
42	78	9	0.03
13	45	1	0.04
38	40	5	0.04
7	74	7	0.01
9	16	6	0.03
24	77	4	0.00
23	3	1	0.04
3	12	9	0.02
12	88	3	0.02
55	8	8	0.01
23	9	6	0.04
66	96	3	0.00
47	86	7	0.01
32	66	4	0.04
89	55	7	0.02
60	54	9	0.03
24	15	7	0.01
14	5	8	0.02
83	58	9	0.01
95	38	4	0.00
10	73	9	0.02
73	32	10	0.01
20	77	9	0.00
35	27	9	0.03
47	43	8	0.00
25	56	1	0.01
36	74	10	0.01
98	53	5	0.01
17	25	2	0.02
60	79	8	0.03
63	45	5	0.02
52	13	4	0.04
21	5	7	0.03
51	86	9	0.01
38	25	1	0.05
30	39	5	0.00
41	51	6	0.03
44	14	9	0.02
43	1	5	0.01
14	86	8	0.03
94	13	3	0.02
6	44	3	0.02
46	32	9	0.03
4	71	4	0.02
54	76	7	0.03
54	10	2	0.03
59	94	9	0.03
20	18	7	0.01
8	89	3	0.02
18	22	3	0.00
25	44	7	0.01
69	42	6	0.02
91	85	10	0.02
88	69	4	0.02
4	91	7	0.00
3	25	4	0.03
58	43	10	0.04
55	23	7	0.03
89	40	1	0.00
78	24	4	0.01
46	77	1	0.03
60	63	7	0.00
55	91	4	0.03
84	91	2	0.00
13	34	1	0.01
17	31	3	0.01
11	47	3	0.03
91	80	7	0.03
76	90	8	0.04
56	21	2	0.04
20	11	4	0.01
38	79	8	0.04
35	65	4	0.03
37	66	3	0.01
63	40	8	0.00
29	12	9	0.03
7	87	9	0.02
31	45	2	0.03
92	74	9	0.03
74	64	1	0.01
14	48	9	0.01
34	17	3	0.01
94	87	5	0.02
20	62	10	0.01
11	79	4	0.03
85	28	9	0.00
86	69	7	0.02
44	58	4	0.00
57	3	3	0.03
49	34	9	0.01
37	79	3	0.02
98	45	9	0.02
52	27	9	0.01
64	46	6	0.03
84	25	1	0.03
62	93	1	0.03
57	67	2	0.03
22	94	10	0.01
32	75	10	0.01
17	7	7	0.02
4	30	2	0.03
89	78	1	0.01
50	68	3	0.02
46	98	5	0.03
41	57	8	0.03
95	62	3	0.03
19	58	1	0.00
21	77	1	0.01
28	7	3	0.01
94	16	3	0.01
66	95	8	0.04
98	65	2	0.00
65	93	10	0.04
36	10	3	0.02
1	63	6	0.03
57	62	7	0.00
63	16	4	0.00
20	93	5	0.00
69	9	6	0.02
75	98	10	0.02
74	19	3	0.02
32	96	1	0.01
21	81	10	0.01
18	39	5	0.01
50	70	8	0.03
77	60	4	0.04
8	46	5	0.01
94	22	5	0.02
58	73	4	0.03
88	7	9	0.03
33	70	5	0.04
91	6	5	0.02
54	6	6	0.02
86	45	10	0.02
19	61	7	0.00
54	1	5	0.03
69	14	9	0.04
23	70	5	0.02
63	27	3	0.04
51	63	9	0.03
25	10	5	0.01
48	65	2	0.00
95	10	8	0.01
36	64	7	0.03
86	75	1	0.02
22	84	7	0.03
74	94	1	0.02
98	77	5	0.01
9	12	4	0.03
36	20	4	0.01
80	26	4	0.02
61	50	7	0.02
32	22	1	0.02
86	47	3	0.02
8	60	4	0.03
4	78	2	0.02
61	22	4	0.03
73	80	8	0.02
35	99	2	0.02
57	48	2	0.01
31	2	1	0.02
51	29	3	0.00
11	74	7	0.03
89	12	9	0.04
0	79	6	0.03
72	59	5	0.01
38	2	9	0.02
50	80	10	0.00
20	74	10	0.04
80	1	9	0.01
46	49	3	0.04
35	68	3	0.01
93	97	8	0.00
34	68	9	0.04
93	59	1	0.01
72	66	10	0.01
66	22	5	0.01
78	9	6	0.02
7	97	5	0.03
99	18	4	0.01
21	93	2	0.02
74	83	5	0.02
81	10	8	0.02
49	48	6	0.02
59	8	2	0.02
27	26	7	0.02
49	11	3	0.00
4	81	10	0.02
52	78	2	0.03
77	43	7	0.02
0	76	4	0.03
64	92	7	0.02
53	92	10	0.01
9	54	2	0.02
8	56	9	0.03
12	80	1	0.01
10	75	1	0.01
15	65	6	0.02
19	95	5	0.00
73	67	9	0.02
93	67	5	0.03
54	78	1	0.01
30	63	8	0.01
23	85	3	0.02
94	59	5	0.02
85	4	3	0.03
96	39	6	0.01
82	76	5	0.02
58	27	10	0.03
9	67	1	0.01
29	49	5	0.04
21	36	2	0.03
14	77	4	0.01
6	35	3	0.00
1	57	10	0.00
29	96	6	0.04
79	95	10	0.01
22	2	4	0.01
95	28	5	0.02
5	90	9	0.04
95	22	9	0.01
73	14	9	0.00
1	80	1	0.04
22	90	7	0.01
93	73	4	0.03
81	43	5	0.03
62	57	5	0.01
25	97	1	0.01
85	77	3	0.03
91	63	3	0.03
9	87	5	0.01
12	87	7	0.00
73	98	6	0.02
8	70	9	0.03
61	62	2	0.02
72	43	6	0.02
35	57	5	0.03
45	26	6	0.01
98	51	7	0.02
30	5	3	0.02
9	88	4	0.02
4	18	10	0.01
53	80	9	0.02
28	16	10	0.03
96	73	7	0.01
34	74	10	0.01
26	15	10	0.03
69	95	10	0.03
92	7	1	0.00
90	45	7	0.03
51	41	8	0.02
13	64	5	0.05
81	74	10	0.00
94	23	7	0.01
70	69	10	0.01
50	3	4	0.03
11	27	3	0.04
3	82	4	0.03
17	24	5	0.01
53	79	2	0.02
16	74	10	0.02
49	66	3	0.02
5	31	6	0.01
31	7	6	0.04
9	30	5	0.01
83	13	5	0.03
19	35	8	0.00
23	47	2	0.02
47	70	5	0.01
11	42	5	0.02
74	63	1	0.03
80	70	10	0.02
40	73	10	0.03
72	31	5	0.02
81	16	3	0.00
14	53	4	0.00
8	55	6	0.02
35	66	5	0.03
36	61	10	0.00
49	35	8	0.02
40	59	3	0.00
51	24	5	0.03
45	34	9	0.01
10	22	6	0.03
22	91	1	0.02
83	44	5	0.03
27	97	1	0.03
14	61	2	0.03
27	20	6	0.03
21	96	10	0.01
61	57	6	0.02
69	97	6	0.03
55	0	2	0.04
8	41	3	0.03
59	5	7	0.03
79	12	5	0.02
19	79	5	0.02
2	55	3	0.01
13	49	10	0.01
98	16	7	0.02
82	55	4	0.00
55	84	6	0.02
14	13	2	0.00
42	37	1	0.02
72	44	7	0.03
82	27	9	0.02
52	50	4	0.01
89	66	7	0.01
17	63	7	0.04
37	87	4	0.04
58	44	7	0.05
19	1	4	0.02
84	74	7	0.00
66	60	9	0.03
47	65	1	0.01
63	36	9	0.03
3	91	9	0.02
1	5	6	0.02
56	19	1	0.03
96	42	2	0.03
99	91	6	0.03
21	70	2	0.02
69	48	3	0.03
98	46	9	0.01
96	56	10	0.00
5	65	9	0.02
21	35	2	0.02
72	46	7	0.01
87	24	7	0.01
9	85	1	0.03
24	67	8	0.02
98	60	1	0.02
83	41	10	0.03
72	29	9	0.03
20	55	5	0.03
15	92	1	0.03
27	98	2	0.01
20	21	9	0.00
92	33	7	0.01
94	63	3	0.02
48	73	3	0.03
40	90	10	0.03
90	3	5	0.02
61	93	4	0.03
74	61	4	0.02
89	26	9	0.00
79	29	9	0.01
74	0	6	0.00
81	83	3	0.01
36	84	10	0.01
67	22	4	0.03
76	56	1	0.05
69	10	7	0.04
82	29	7	0.03
58	45	1	0.03
50	86	7	0.04
6	81	10	0.02
23	67	3	0.03
99	90	6	0.01
85	33	2	0.02
47	93	6	0.02
48	45	6	0.02
54	61	6	0.03
71	97	4	0.02
54	65	4	0.02
88	72	6	0.02
13	56	6	0.01
13	52	8	0.00
60	6	1	0.01
62	69	5	0.03
91	16	9	0.03
16	49	10	0.02
18	23	3	0.04
98	24	10	0.02
26	44	10	0.00
77	20	2	0.01
23	79	8	0.04
70	19	6	0.01
40	49	9	0.04
81	64	2	0.02
86	84	5	0.01
89	91	9	0.02
99	4	7	0.00
11	63	6	0.00
77	92	2	0.02
95	33	9	0.03
65	37	4	0.02
44	54	1	0.02
3	75	9	0.03
85	87	7	0.04
78	97	4	0.02
56	89	8	0.02
43	89	9	0.02
13	40	1	0.00
15	72	4	0.00
93	34	6	0.04
0	92	5	0.01
72	21	4	0.02
0	49	5	0.01
38	65	3	0.02
67	7	2	0.02
20	84	5	0.04
47	6	4	0.02
16	65	4	0.02
32	58	9	0.03
12	44	1	0.00
74	6	7	0.03
61	66	9	0.01
74	97	3	0.02
67	56	10	0.00
0	24	6	0.04
98	29	7	0.03
1	60	8	0.02
83	1	5	0.01
61	34	5	0.03
12	57	10	0.01
55	35	8	0.01
80	16	4	0.02
65	42	4	0.04
51	95	1	0.02
34	61	3	0.03
87	80	10	0.05
96	93	8	0.03
6	4	4	0.03
47	46	8	0.04
4	34	4	0.02
58	38	2	0.05
54	82	6	0.03
51	12	9	0.02
72	47	1	0.02
34	12	4	0.00
88	46	10	0.02
82	79	5	0.03
43	50	3	0.01
38	9	1	0.01
84	10	8	0.01
60	35	10	0.03
41	75	8	0.04
94	77	8	0.02
28	92	8	0.04
76	92	5	0.02
58	0	6	0.04
94	80	5	0.03
39	1	10	0.05
45	63	3	0.04
83	37	1	0.01
23	33	3	0.04
43	96	5	0.00
42	55	6	0.01
46	90	7	0.05
87	48	6	0.01
30	74	6	0.01
93	56	9	0.00
22	4	2	0.02
30	8	3	0.01
44	4	1	0.00
34	91	7	0.03
72	15	10	0.00
96	18	7	0.03
76	69	7	0.01
27	59	3	0.03
6	34	3	0.00
12	74	6	0.01
64	85	2	0.03
5	97	2	0.04
59	54	4	0.00
81	99	5	0.01
48	35	4	0.01
25	93	9	0.03
6	52	10	0.03
6	10	7	0.01
4	35	8	0.02
90	88	6	0.02
84	99	1	0.01
64	52	6	0.02
92	99	5	0.03
70	82	5	0.02
27	71	4	0.02
63	30	8	0.02
15	5	6	0.03
83	69	6	0.01
36	14	1	0.03
45	64	1	0.00
16	15	6	0.02
0	12	1	0.02
43	77	8	0.02
71	51	9	0.04
36	38	7	0.00
82	90	5	0.03
50	57	2	0.03
88	97	1	0.04
96	9	5	0.01
4	70	7	0.02
23	20	5	0.04
70	64	5	0.02
88	78	4	0.00
7	9	8	0.02
73	54	10	0.02
23	84	3	0.01
82	72	8	0.03
19	73	5	0.02
29	54	7	0.03
6	69	8	0.04
61	74	6	0.00
5	85	2	0.02
27	81	10	0.03
21	62	2	0.02
95	68	6	0.01
33	53	6	0.03
92	47	7	0.01
43	44	9	0.01
75	41	7	0.00
83	52	9	0.00
25	0	3	0.04
40	26	9	0.00
52	51	8	0.03
38	49	4	0.02
62	25	10	0.01
32	72	1	0.02
18	56	6	0.03
32	44	1	0.04
91	84	9	0.03
85	72	4	0.04
88	36	10	0.00
33	7	8	0.01
67	93	6	0.02
92	42	10	0.03
57	13	8	0.03
12	16	1	0.04
32	80	2	0.01
28	42	2	0.03
96	46	2	0.01
59	69	6	0.01
37	17	8	0.01
30	81	6	0.01
66	40	10	0.03
67	96	1	0.01
15	6	7	0.03
20	86	5	0.00
94	46	2	0.02
41	67	4	0.04
0	32	7	0.05
33	38	8	0.01
71	30	4	0.01
5	59	2	0.01
52	93	7	0.00
60	14	7	0.01
78	62	5	0.01
56	63	6	0.00
80	25	9	0.00
90	85	8	0.04
24	23	10	0.02
85	32	3	0.04
20	58	1	0.04
75	38	9	0.03
64	80	4	0.03
87	50	1	0.03
45	23	9	0.01
42	53	9	0.03
72	18	9	0.00
42	96	10	0.01
54	43	6	0.01
42	40	7	0.03
74	54	9	0.03
18	25	2	0.03
82	7	6	0.01
31	50	10	0.03
43	2	9	0.00
81	77	5	0.03
61	53	1	0.01
28	99	6	0.02
18	74	9	0.02
37	62	8	0.04
77	96	2	0.03
37	47	6	0.04
42	34	6	0.01
9	68	4	0.00
8	10	10	0.00
13	37	8	0.04
75	16	2	0.03
78	67	8	0.03
97	88	10	0.01
45	86	10	0.02
25	80	1	0.00
42	79	2	0.04
46	26	8	0.04
2	61	4	0.04
23	73	3	0.00
60	36	10	0.01
90	96	1	0.03
81	37	3	0.01
13	3	9	0.00
51	73	5	0.01
65	75	10	0.00
68	73	5	0.02
20	32	6	0.04
16	56	6	0.04
4	75	1	0.01
4	67	3	0.03
21	73	10	0.02
90	31	5	0.05
84	16	10	0.03
48	9	6	0.02
2	83	3	0.03
65	64	10	0.00
49	28	5	0.02
92	27	2	0.02
91	61	6	0.03
22	12	5	0.03
97	41	9	0.03
24	61	2	0.04
51	18	10	0.01
93	5	5	0.04
35	43	9	0.03
26	38	8	0.03
84	70	6	0.01
77	40	5	0.04
84	23	2	0.00
23	81	6	0.01
94	5	2	0.02
7	14	10	0.02
6	71	8	0.03
75	45	3	0.01
29	79	6	0.03
34	52	4	0.03
10	74	5	0.02
84	79	8	0.00
55	42	7	0.02
83	32	3	0.04
40	27	6	0.02
68	79	4	0.03
68	8	9	0.03
79	64	7	0.04
60	50	5	0.02
49	78	3	0.01
10	66	6	0.02
61	65	4	0.01
44	11	6	0.01
52	96	10	0.02
19	78	10	0.03
3	85	4	0.01
51	1	10	0.02
79	58	4	0.03
29	19	5	0.02
32	78	3	0.00
15	97	8	0.04
70	0	10	0.03
61	6	7	0.01
75	12	7	0.00
54	60	6	0.02
28	8	7	0.02
9	61	9	0.02
30	56	3	0.03
89	70	4	0.03
78	90	8	0.02
51	9	7	0.02
49	60	10	0.02
44	65	6	0.01
59	28	4	0.00
62	42	8	0.01
8	14	9	0.03
99	57	8	0.01
92	2	6	0.03
60	76	6	0.01
70	9	3	0.03
20	56	4	0.01
38	95	7	0.01
56	78	1	0.03
52	99	3	0.01
6	82	4	0.04
42	92	1	0.02
33	57	8	0.02
2	45	1	0.01
57	63	10	0.01
93	70	6	0.02
33	22	5	0.02
3	34	4	0.02
99	84	5	0.02
60	18	1	0.01
12	18	5	0.02
53	35	3	0.03
21	34	9	0.00
27	62	8	0.03
79	59	4	0.01
42	27	9	0.02
9	98	4	0.03
53	37	6	0.01
69	94	2	0.01
9	7	9	0.03
95	20	1	0.00
57	45	5	0.00
74	9	6	0.03
27	93	2	0.03
96	79	4	0.04
80	86	8	0.03
78	44	3	0.02
28	33	2	0.00
99	52	4	0.01
55	90	2	0.03
26	65	4	0.02
57	35	1	0.02
34	25	8	0.01
83	33	4	0.03
43	40	2	0.00
6	24	9	0.01
9	11	2	0.03
24	11	6	0.03
4	31	6	0.03
65	17	8	0.01
48	7	5	0.03
57	31	2	0.03
93	15	9	0.02
80	74	10	0.01
84	65	1	0.01
21	20	7	0.02
3	48	7	0.02
63	10	2	0.01
66	21	4	0.03
45	25	9	0.01
38	53	10	0.01
87	65	7	0.03
25	88	3	0.00
70	43	5	0.04
15	13	8	0.02
35	38	6	0.01
63	83	6	0.03
30	84	8	0.02
83	74	7	0.01
57	64	9	0.01
30	17	5	0.01
77	23	9	0.03
42	95	4	0.02
89	73	10	0.01
5	84	9	0.04
60	7	10	0.02
80	55	10	0.01
92	69	7	0.02
68	31	6	0.03
65	71	4	0.01
53	9	6	0.02
25	37	8	0.03
40	29	4	0.03
29	72	7	0.02
59	24	3	0.04
13	8	1	0.02
7	1	6	0.03
0	16	5	0.01
39	8	1	0.03
56	22	7	0.04
74	86	10	0.01
77	10	9	0.01
89	65	7	0.01
91	49	6	0.01
85	46	5	0.03
70	10	10	0.03
68	43	2	0.03
18	77	1	0.01
6	78	3	0.03
77	62	3	0.02
99	60	1	0.01
24	69	8	0.01
73	6	3	0.03
35	26	3	0.02
78	84	2	0.00
58	69	1	0.06
89	45	10	0.04
47	26	3	0.03
4	82	5	0.03
41	77	7	0.03
31	69	9	0.05
26	43	6	0.03
96	34	7	0.04
26	98	4	0.02
90	34	6	0.03
25	50	5	0.04
74	82	9	0.03
37	33	10	0.01
57	7	2	0.02
26	5	2	0.02
13	66	2	0.04
89	10	7	0.03
83	61	9	0.01
42	64	4	0.03
76	29	6	0.01
39	3	2	0.01
94	31	4	0.03
70	32	1	0.03
60	85	3	0.02
12	6	3	0.01
61	1	2	0.01
66	69	10	0.04
1	72	8	0.02
75	85	2	0.04
7	61	7	0.03
31	48	7	0.01
38	97	7	0.01
85	20	4	0.02
28	17	8	0.01
52	7	1	0.02
47	41	4	0.02
93	76	6	0.01
68	5	6	0.00
68	60	5	0.04
71	65	3	0.01
34	58	2	0.01
73	38	7	0.02
54	28	9	0.03
86	56	2	0.02
36	97	5	0.02
99	89	5	0.00
59	43	7	0.04
93	43	2	0.04
28	5	5	0.03
81	17	9	0.02
32	20	2	0.03
11	5	9	0.02
70	20	6	0.02
75	49	1	0.04
28	78	3	0.02
31	64	2	0.05
9	79	6	0.02
56	4	1	0.04
67	66	2	0.03
27	94	10	0.02
76	24	10	0.03
49	47	5	0.03
13	58	6	0.02
39	4	6	0.03
15	56	6	0.02
78	3	1	0.01
97	42	5	0.04
95	57	8	0.01
74	25	6	0.00
95	58	8	0.03
91	98	1	0.02
66	52	8	0.01
92	79	7	0.01
36	9	10	0.04
21	59	3	0.00
38	56	2	0.03
93	6	8	0.02
64	29	10	0.01
17	98	4	0.01
98	58	1	0.02
68	69	9	0.03
79	80	1	0.04
28	45	9	0.00
25	33	10	0.00
48	36	1	0.02
64	14	7	0.03
0	54	10	0.03
72	11	5	0.02
75	37	1	0.02
93	83	4	0.01
93	51	1	0.03
3	80	6	0.02
50	26	5	0.00
50	97	10	0.04
70	61	5	0.01
88	3	1	0.02
12	30	6	0.01
39	53	3	0.01
98	20	4	0.02
9	64	7	0.01
33	86	8	0.03
28	6	10	0.02
53	8	6	0.01
76	30	6	0.00
77	21	1	0.04
81	69	6	0.02
65	8	3	0.01
93	99	10	0.03
41	11	3	0.01
68	20	10	0.01
58	88	7	0.03
91	28	4	0.02
51	44	1	0.03
7	29	5	0.00
87	35	10	0.04
49	65	9	0.03
44	45	2	0.02
24	53	6	0.02
85	83	1	0.01
34	36	9	0.00
72	27	4	0.01
9	97	5	0.01
95	70	10	0.02
98	8	3	0.02
47	76	8	0.01
19	42	6	0.01
44	86	1	0.03
60	2	3	0.01
50	54	6	0.00
40	67	3	0.02
6	7	2	0.01
78	32	3	0.01
44	88	2	0.01
97	30	9	0.02
65	88	7	0.02
61	3	2	0.01
87	69	1	0.02
28	55	5	0.01
36	25	5	0.02
2	33	7	0.01
26	1	1	0.04
2	64	6	0.03
4	0	4	0.03
47	45	10	0.04
11	59	8	0.00
54	8	3	0.01
38	1	3	0.01
75	43	4	0.03
38	35	3	0.04
85	3	6	0.04
40	75	9	0.02
49	40	8	0.00
91	13	4	0.03
34	64	8	0.02
73	50	7	0.03
5	95	7	0.03
32	31	5	0.04
5	7	4	0.04
77	54	7	0.03
68	83	8	0.02
15	61	8	0.01
73	75	8	0.00
5	14	3	0.02
48	33	8	0.02
99	88	6	0.01
42	6	10	0.02
37	77	7	0.01
40	51	3	0.02
16	97	3	0.02
0	68	5	0.00
5	41	1	0.02
79	96	3	0.01
25	1	5	0.03
1	94	10	0.03
86	43	5	0.03
59	61	6	0.02
97	28	4	0.01
94	38	6	0.03
22	61	9	0.02
87	76	5	0.04
30	75	1	0.02
35	58	7	0.02
69	75	5	0.03
7	90	4	0.00
58	71	5	0.01
12	47	6	0.04
64	26	4	0.01
25	67	5	0.00
37	61	3	0.03
54	47	1	0.00
99	33	4	0.01
62	70	8	0.02
52	12	10	0.01
55	65	7	0.01
22	21	2	0.02
86	34	6	0.00
10	1	3	0.01
71	74	1	0.01
73	46	8	0.00
1	20	8	0.03
22	89	4	0.03
39	80	2	0.03
28	91	2	0.03
99	22	10	0.01
18	49	9	0.00
10	45	8	0.01
50	47	3	0.00
53	12	6	0.00
10	3	5	0.01
66	92	3	0.04
58	51	6	0.02
49	20	2	0.01
61	17	2	0.03
45	99	7	0.02
49	29	10	0.01
59	35	10	0.04
74	12	2	0.03
73	12	8	0.01
18	26	7	0.03
54	66	1	0.01
43	68	2	0.02
14	26	3	0.02
7	36	4	0.01
4	20	7	0.02
39	95	3	0.02
96	48	4	0.01
79	45	3	0.05
73	25	2	0.03
21	57	2	0.03
24	14	1	0.03
38	7	9	0.04
36	85	8	0.01
94	96	2	0.03
70	15	5	0.03
13	47	1	0.01
11	38	5	0.00
60	78	5	0.03
67	8	7	0.01
12	77	2	0.00
18	97	7	0.01
90	65	4	0.00
20	80	3	0.03
30	3	10	0.01
16	99	4	0.01
89	20	5	0.01
67	3	2	0.01
28	61	1	0.01
56	3	7	0.02
54	21	5	0.02
96	77	5	0.04
74	37	8	0.02
30	29	3	0.02
58	90	4	0.06
61	52	3	0.02
94	40	5	0.00
58	42	9	0.04
13	75	2	0.04
19	51	9	0.00
92	32	8	0.01
66	51	1	0.01
18	55	10	0.01
33	43	5	0.03
31	51	4	0.02
49	63	4	0.02
41	98	8	0.03
31	91	7	0.05
98	72	6	0.03
58	72	1	0.05
51	68	1	0.03
60	39	9	0.03
29	62	4	0.03
38	4	7	0.01
18	17	7	0.00
77	19	4	0.01
64	96	1	0.01
45	4	6	0.01
36	70	10	0.04
49	79	4	0.00
48	42	10	0.04
67	38	5	0.04
0	80	5	0.00
62	37	5	0.02
70	18	4	0.00
22	3	4	0.01
72	45	8	0.01
74	67	6	0.02
17	30	10	0.02
0	33	4	0.03
86	10	7	0.02
34	88	1	0.03
13	78	2	0.01
23	42	8	0.01
27	15	7	0.01
94	58	10	0.03
21	31	8	0.00
45	81	5	0.02
36	47	9	0.01
18	19	1	0.03
11	8	3	0.03
23	11	9	0.01
19	69	4	0.00
9	49	6	0.00
92	94	10	0.03
45	83	9	0.04
55	41	4	0.02
20	6	8	0.02
53	40	7	0.00
45	79	9	0.03
6	17	9	0.01
2	23	6	0.04
93	24	8	0.04
